Metric,Final_Aggregated,Individual_Mean,Individual_Std,Individual_Min,Individual_Max,Method,Seed
AUC,0.7728822533503803,0.8490561370517172,0.10029150322654791,0.6640989953477225,0.9958399345162653,Score_Concatenation,42
AUPR,0.426143712845451,0.6373097448697329,0.18362051127953372,0.3104724504028807,0.972797674428686,Score_Concatenation,42
F1,0.5750846857778451,0.6152903235824135,0.1699079918516783,0.35084175084175084,0.9719101123595505,Confusion_Matrix_Sum,42
PRECISION,0.5380300077573648,0.6681534383758873,0.21675768622834488,0.22372517444981213,0.9829545454545454,Confusion_Matrix_Sum,42
RECALL,0.6176208679032188,0.63345686260787,0.1884048525984401,0.25172699640784746,0.9611111111111111,Confusion_Matrix_Sum,42
