Metric,Final_Aggregated,Individual_Mean,Individual_Std,Individual_Min,Individual_Max,Method,Seed
AUC,0.6491988286989525,0.7133898309049309,0.1990567659143034,0.18594310987201085,0.999934639098891,Score_Concatenation,42
AUPR,0.29087052528688145,0.4640971783857477,0.29628109284664267,0.07415824926892925,0.9998809563249836,Score_Concatenation,42
F1,0.4674439652877603,0.5140552536735603,0.24508977742823435,0.04385277995301488,0.9937106918238994,Confusion_Matrix_Sum,42
PRECISION,0.36606212215968315,0.4792124919946317,0.31031178486712435,0.027750247770069375,1.0,Confusion_Matrix_Sum,42
RECALL,0.6464914218393344,0.66348593559449,0.21619384516699625,0.1044776119402985,1.0,Confusion_Matrix_Sum,42
