Metric,Final_Aggregated,Individual_Mean,Individual_Std,Individual_Min,Individual_Max,Method,Seed
AUC,0.6973231931797552,0.7589288910706159,0.15450537826014982,0.48530291274690457,0.954403920248382,Score_Concatenation,42
AUPR,0.5954135493346207,0.6886876389922069,0.18221823435654208,0.43351217785021684,0.95615938863078,Score_Concatenation,42
F1,0.6764920067968235,0.6506413606698279,0.16778928744756938,0.3750997605746209,0.932838339520756,Confusion_Matrix_Sum,42
PRECISION,0.6866112910038012,0.7679333089590905,0.2050488723635547,0.4268214055448098,0.9956772334293948,Confusion_Matrix_Sum,42
RECALL,0.6666666666666666,0.6305397409183098,0.21856071066329505,0.2333664349553128,0.9651515151515152,Confusion_Matrix_Sum,42
