omi_file,num_samples,num_anomalies,anomaly_ratio,auc,aupr,f1,precision,recall,seed
omi-1,4121,1598,0.38776995874787673,0.8806454957321305,0.843926746028572,0.7682003494467095,0.7184095860566448,0.8254067584480601,42
omi-2,4121,664,0.16112594030575103,0.6937203543709114,0.508893797168538,0.5318681318681319,0.983739837398374,0.3644578313253012,42
omi-3,4121,1162,0.2819703955350643,0.7030357222837179,0.5581052502311887,0.5388235294117647,0.49495677233429397,0.5912220309810671,42
omi-4,4121,1007,0.24435816549381217,0.5482682557996401,0.43351217785021684,0.3750997605746209,0.9552845528455285,0.2333664349553128,42
omi-5,4121,1088,0.2640135889347246,0.691322383923896,0.5460264035527324,0.5017051913603637,0.4268214055448098,0.6084558823529411,42
omi-6,4121,1879,0.455957291919437,0.5877867922799485,0.5940020486913284,0.5006346788525006,0.4786407766990291,0.5247472059606173,42
omi-7,4121,684,0.16597913127881583,0.48530291274690457,0.4435779504720697,0.5096774193548387,0.9634146341463414,0.34649122807017546,42
omi-8,4121,994,0.24120359136132008,0.8464023668715202,0.8211453434080154,0.8250438853130485,0.986013986013986,0.7092555331991952,42
omi-9,4121,1575,0.38218878912885224,0.954403920248382,0.95615938863078,0.932838339520756,0.9956772334293948,0.8774603174603175,42
omi-10,4121,1715,0.41616112594030574,0.8812931228779364,0.8686154633628921,0.7596404755001449,0.7554786620530565,0.7638483965014577,42
omi-11,4121,1320,0.32031060422227614,0.9125448973851331,0.8408375925480641,0.7969971848608071,0.678742674480554,0.9651515151515152,42
omi-12,4121,945,0.22931327347731134,0.9224204683272694,0.8494495059620838,0.7671673819742489,0.7780195865070729,0.7566137566137566,42
